"Application id","Session id","Loan Amount","Loan Term","Loan issued","Loan missed first payment","Customer completed open banking","Customer uploaded a payslip","Customer signed contract","Customer is a homeowner"
18879571,"1086c976-7738-11ea-a8e5-069d8de3f4da",4000,24,0,0,0,0,0,0
18879600,"699aec64-7738-11ea-a8e5-069d8de3f4da",5000,48,1,0,1,0,1,0
18879791,"a626fcfd-773a-11ea-a8e5-069d8de3f4da",9000,60,0,0,0,0,1,0
18880127,"b7f5c545-773e-11ea-a8e5-069d8de3f4da",3000,60,1,0,0,0,1,0
18880197,"c185643c-773f-11ea-a8e5-069d8de3f4da",3000,60,0,0,0,0,0,1
18880233,"43871586-7740-11ea-a8e5-069d8de3f4da",3000,60,1,1,1,1,1,1
18880425,"aad573d1-7742-11ea-a8e5-069d8de3f4da",15000,60,0,0,0,0,0,1
18880442,"d27b34f4-7742-11ea-a8e5-069d8de3f4da",3000,36,0,0,0,0,0,0
18880461,"1383e360-7743-11ea-a8e5-069d8de3f4da",4500,12,1,0,1,1,1,0
18880522,"be1af6fc-7743-11ea-a8e5-069d8de3f4da",2255,12,0,0,1,0,0,0
18880549,"20d30170-7744-11ea-a8e5-069d8de3f4da",2000,24,1,0,1,1,1,0
18880655,"24de3a44-7745-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,0
18880727,"2835cd3a-7746-11ea-a8e5-069d8de3f4da",1000,36,1,0,1,1,1,0
18880769,"aa70a0bd-7746-11ea-a8e5-069d8de3f4da",1500,36,1,0,0,0,1,1
18880863,"945829f7-7747-11ea-a8e5-069d8de3f4da",5000,36,0,0,0,0,0,1
18881009,"7a28e03c-7749-11ea-a8e5-069d8de3f4da",2700,24,0,0,0,0,0,0
18881029,"aab01fbc-7749-11ea-a8e5-069d8de3f4da",3500,48,0,0,0,0,0,0
18881097,"409b3ebb-774a-11ea-a8e5-069d8de3f4da",3000,24,1,0,1,0,1,0
18881105,"55778270-774a-11ea-a8e5-069d8de3f4da",1000,12,1,0,0,1,1,0
18881128,"93c8994e-774a-11ea-a8e5-069d8de3f4da",7000,24,1,0,0,0,1,0
18881161,"d6e9f2b2-774a-11ea-a8e5-069d8de3f4da",4000,36,0,0,0,0,0,0
18881238,"cba42184-774b-11ea-a8e5-069d8de3f4da",2000,36,0,0,0,0,0,1
18881557,"1095bc4c-774f-11ea-a8e5-069d8de3f4da",7500,60,1,0,0,0,1,0
18881814,"c6d8180f-7751-11ea-a8e5-069d8de3f4da",7500,48,1,0,0,1,1,0
18881937,"366c458f-7753-11ea-a8e5-069d8de3f4da",3000,36,1,0,1,0,1,1
18882887,"2e12884e-775e-11ea-a8e5-069d8de3f4da",5000,36,0,0,0,0,0,1
18883169,"6351210a-7761-11ea-a8e5-069d8de3f4da",1000,24,0,0,0,0,1,0
18883488,"96a8719f-7765-11ea-a8e5-069d8de3f4da",2000,18,0,0,0,0,0,1
18883502,"af6887f2-7765-11ea-a8e5-069d8de3f4da",4000,30,1,0,1,0,1,0
18883794,"2564cedc-7769-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,1
18883853,"eb771188-7769-11ea-a8e5-069d8de3f4da",4500,60,1,0,1,1,1,1
18884003,"aefa4e2f-776b-11ea-a8e5-069d8de3f4da",1000,12,1,0,1,0,1,1
18884034,"22609b5e-776c-11ea-a8e5-069d8de3f4da",500,18,1,0,1,0,1,0
18884104,"1d964ed5-776d-11ea-a8e5-069d8de3f4da",15000,60,0,0,0,0,1,0
18884283,"8e02ca71-776f-11ea-a8e5-069d8de3f4da",13500,60,0,0,0,0,0,0
18884311,"ef0ab26f-776f-11ea-a8e5-069d8de3f4da",3000,36,1,0,0,0,1,0
18884444,"edf73c7e-7771-11ea-a8e5-069d8de3f4da",6000,12,1,0,1,0,1,0
18884469,"3716cc27-7772-11ea-a8e5-069d8de3f4da",6495,48,1,0,1,1,1,1
18884478,"55d2dc92-7772-11ea-a8e5-069d8de3f4da",1000,36,0,0,0,0,0,1
18884497,"9047a3d2-7772-11ea-a8e5-069d8de3f4da",2000,24,0,0,0,0,0,0
18884967,"49b6075d-7779-11ea-a8e5-069d8de3f4da",1300,24,0,0,0,0,0,1
18885101,"877ae1d1-777b-11ea-a8e5-069d8de3f4da",7000,36,1,0,1,0,1,0
18885269,"dfa02972-777d-11ea-a8e5-069d8de3f4da",5000,18,0,0,0,0,0,1
18885304,"751ef198-777e-11ea-a8e5-069d8de3f4da",5500,12,0,0,0,0,0,1
18885397,"ac2d2ef7-777f-11ea-a8e5-069d8de3f4da",5300,12,0,0,0,0,0,1
18885593,"5049a174-7782-11ea-a8e5-069d8de3f4da",10000,60,0,0,0,0,0,0
18885630,"cd917d03-7782-11ea-a8e5-069d8de3f4da",5500,12,0,0,0,0,0,1
18885698,"acec1089-7783-11ea-a8e5-069d8de3f4da",3000,36,0,0,0,0,0,0
18885935,"770e9c27-7787-11ea-a8e5-069d8de3f4da",7500,30,0,0,0,0,0,0
18885988,"5cf5aa1c-7788-11ea-a8e5-069d8de3f4da",2500,18,1,0,1,0,1,0
18886146,"3156d91a-778b-11ea-a8e5-069d8de3f4da",1000,24,0,0,0,0,0,1
18886211,"149ddaa4-778c-11ea-a8e5-069d8de3f4da",1200,48,1,0,1,1,1,0
18886299,"d6cb1919-778d-11ea-a8e5-069d8de3f4da",3000,24,0,0,0,0,0,0
18886358,"ff45a2a6-778e-11ea-a8e5-069d8de3f4da",1200,24,1,0,1,0,1,0
18886467,"0258d474-7791-11ea-a8e5-069d8de3f4da",1000,24,1,0,0,0,1,1
18886498,"b301bb07-7791-11ea-a8e5-069d8de3f4da",1000,24,1,0,1,0,1,0
18886776,"9fcd5935-7797-11ea-a8e5-069d8de3f4da",8000,48,0,0,0,0,1,0
18886866,"217399fc-779a-11ea-a8e5-069d8de3f4da",2500,30,1,0,1,0,1,0
18886894,"ec1009d1-779a-11ea-a8e5-069d8de3f4da",6000,36,0,0,0,0,0,0
18886908,"517dcb69-779b-11ea-a8e5-069d8de3f4da",6300,36,1,0,1,0,1,0
18886973,"fdaf5b38-779c-11ea-a8e5-069d8de3f4da",3000,24,0,0,0,0,0,1
18887056,"6adad3c5-779f-11ea-a8e5-069d8de3f4da",10000,18,0,0,0,0,0,1
18887112,"540b4c59-77a1-11ea-a8e5-069d8de3f4da",6000,24,0,0,0,0,0,1
18887149,"bb3d9606-77a2-11ea-a8e5-069d8de3f4da",4000,24,0,0,1,0,1,0
18887251,"478c93e6-77a7-11ea-a8e5-069d8de3f4da",5000,60,0,0,0,0,0,0
18887695,"9e2c7cdf-77c7-11ea-a8e5-069d8de3f4da",3500,42,0,0,0,0,0,1
18887798,"c4a6d81e-77cb-11ea-a8e5-069d8de3f4da",5000,60,1,0,1,0,1,1
18887912,"1aa6a20b-77cf-11ea-a8e5-069d8de3f4da",2000,24,1,0,1,0,1,0
18887988,"7a7f0764-77d1-11ea-a8e5-069d8de3f4da",1000,12,0,0,0,0,0,0
18888111,"df61c7fa-77d3-11ea-a8e5-069d8de3f4da",4700,60,0,0,1,0,0,1
18888221,"b2fac572-77d5-11ea-a8e5-069d8de3f4da",8000,36,0,0,0,0,0,1
18888251,"36c47b5d-77d6-11ea-a8e5-069d8de3f4da",1000,24,1,0,1,0,1,0
18888569,"024c0ac3-77db-11ea-a8e5-069d8de3f4da",1000,18,1,0,1,1,1,0
18888585,"28e41e35-77db-11ea-a8e5-069d8de3f4da",1000,36,1,0,1,0,1,0
18889208,"1b3359f8-77e2-11ea-a8e5-069d8de3f4da",1000,24,0,0,0,0,1,0
18889382,"42b8d96e-77e3-11ea-a8e5-069d8de3f4da",1000,18,0,0,0,0,0,0
18889626,"c601c4e5-77e4-11ea-a8e5-069d8de3f4da",1500,24,1,0,0,0,1,0
18889803,"5d95ff5b-77e6-11ea-a8e5-069d8de3f4da",5000,36,0,0,0,0,0,0
18889822,"3953bb72-77e6-11ea-a8e5-069d8de3f4da",3000,24,1,0,0,1,1,1
18889977,"7e67ef6f-77e7-11ea-a8e5-069d8de3f4da",1300,18,1,0,1,1,1,0
18890153,"636b0a6e-77e9-11ea-a8e5-069d8de3f4da",1500,18,1,0,1,0,1,0
18890169,"8d9b1682-77e9-11ea-a8e5-069d8de3f4da",1000,12,1,0,0,0,1,0
18890229,"14dcaee4-77ea-11ea-a8e5-069d8de3f4da",1500,36,1,0,1,0,1,0
18890274,"7f22b20c-77ea-11ea-a8e5-069d8de3f4da",20000,60,1,0,1,1,1,1
18890278,"8ee0465e-77ea-11ea-a8e5-069d8de3f4da",1200,36,1,0,1,1,1,0
18890333,"fb390cd6-77ea-11ea-a8e5-069d8de3f4da",2500,24,0,0,0,0,1,1
18890391,"70d2982d-77eb-11ea-a8e5-069d8de3f4da",2000,12,0,0,1,0,1,1
18890439,"ce3a5c10-77eb-11ea-a8e5-069d8de3f4da",1000,24,0,0,0,0,1,1
18890549,"e6ac81bc-77ec-11ea-a8e5-069d8de3f4da",4000,36,0,0,0,0,0,0
18890589,"5f99a553-77ed-11ea-a8e5-069d8de3f4da",5900,24,1,0,1,1,1,0
18890657,"06ddf6f8-77ee-11ea-a8e5-069d8de3f4da",6000,36,0,0,1,0,0,1
18890764,"fd397467-77ee-11ea-a8e5-069d8de3f4da",2997,48,1,0,1,0,1,0
18890794,"46f1b35f-77ef-11ea-a8e5-069d8de3f4da",12000,60,0,0,0,0,0,1
18890825,"95099bb4-77ef-11ea-a8e5-069d8de3f4da",8000,60,1,1,0,0,1,1
18891021,"38ee9d68-77f1-11ea-a8e5-069d8de3f4da",1100,60,1,0,1,0,1,1
